run_name,k_h,k_v,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
k2.8,2.8000381970970207,5.600044563279858,0.014046783814127306,0.1836774797801438,0.01359242371327386,-0.0035437484560362554
k2.9,2.9000190985485106,5.800022281639929,0.008921630000847393,0.2374369815381371,0.007406952303375088,-0.004973182024373003
k3.0,3.0,6.000000000000001,0.012327642531132504,0.8060673477526027,0.009639040737712528,-0.007685028564169775
k3.1,3.0999809014514903,6.1999777183600715,0.008659498072384166,-0.08675802441407719,0.0031653903285109295,-0.00806022400022447
k3.2,3.1999618029029797,6.399955436720143,0.0374773499439912,1.101348139495726,-0.035887129226105575,-0.010801190431298577
k3.3,3.3000381970970207,6.600044563279858,0.034264653519159444,-0.13803067853408432,-0.03192780219669794,-0.01243711894598486
k3.4,3.400019098548511,6.8000222816399285,0.03587793040641276,-6.152686462803145,-0.033299092461793696,0.013356508955124136
k3.5,3.5000000000000004,7.0,0.007089279611867272,0.8558667145514802,-0.0009076206303508991,0.0070309394967243465
k3.6,3.59998090145149,7.1999777183600715,0.037550855225239314,-6.915849257813493,0.030321467213521358,-0.022151193064172243
k3.7,3.6999618029029797,7.399955436720143,0.049307973915511026,-5.774182449819195,0.042530776158215405,-0.024948133618218633
k3.8,3.800038197097021,7.600044563279857,0.0021235016579490727,1.0725067925477823,0.0020244973326546648,0.0006408352685258564
k3.9,3.900019098548511,7.8000222816399285,0.00575509537168691,6.838091076917621,-0.0037629058751820397,-0.004354499065533553
k4.0,4.0,8.0,0.005193315127356651,0.6773827927919138,0.005071108337827869,-0.0011199920705273242
