run_name,delta_phi_vh_deg,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
phi_vh_45_deg,45.00010522957486,0.04167210125732935,0.4706500428481457,0.04167029807429626,-0.0003876617087244707
phi_vh_50_deg,50.002026781066945,0.0414651793342987,1.36698865636486,0.041441517523451,0.0014006150716937209
phi_vh_55_deg,54.99821875460772,0.04196526805183663,2.274106802267527,0.04143870128809964,0.006627047473660429
phi_vh_60_deg,60.0001403060998,0.040597880562574684,2.904712989890597,0.03990348625678643,0.007476609574368326
phi_vh_65_deg,65.0020618575919,0.03942415220605993,3.5447902644160036,0.03827266355030884,0.009458699801317354
phi_vh_70_deg,69.99825383113267,0.038829926287329286,4.090570347908304,0.03696167653153473,0.011899480806220945
phi_vh_75_deg,75.00017538262476,0.03551548402576335,4.855882805338944,0.03311233085666667,0.012842240880114802
phi_vh_80_deg,80.00209693411685,0.03233790897910628,6.218393334496785,0.029648313498430418,0.012911927193093652
phi_vh_85_deg,84.99828890765762,0.02997393541521339,6.661033951232047,0.02688417261653391,0.013254360301417497
phi_vh_90_deg,90.00021045914971,0.027747767160003253,7.156425081415911,0.02434939257328956,0.01330585073107263
phi_vh_95_deg,95.00213201064179,0.02598249219876314,7.2846761414662655,0.022952793071996148,0.01217617308734206
phi_vh_100_deg,99.99832398418258,0.023030791249367643,7.858333472533932,0.018719927363931153,0.013415724544768014
phi_vh_105_deg,105.00024553567467,0.022183988031405835,7.6991400276963216,0.018953048144117433,0.011528715931287578
phi_vh_110_deg,110.00216708716675,0.018374064848460842,8.25921343341834,0.014540961251943684,0.0112323953333613
phi_vh_115_deg,114.99835906070753,0.016122503562816654,7.987488613814774,0.013419703257913775,0.008935697264487768
phi_vh_120_deg,120.0002806121996,0.013577942221548556,8.235680706896828,0.011379852028019683,0.0074067187601587255
phi_vh_125_deg,125.00220216369172,0.011349500441515973,8.905244136362318,0.009000237247679923,0.006914252653573357
phi_vh_130_deg,129.99839413723248,0.008548455125428499,8.2881785448536,0.007835846187190881,0.0034169576471110856
phi_vh_135_deg,135.00031568872456,0.005596462363630172,8.221261598517062,0.005460957062133502,0.0012240665639838533
phi_vh_140_deg,140.00223724021663,0.0037574955896872084,8.068316358461415,0.003168669201750616,-0.0020194822594902712
phi_vh_145_deg,144.99842921375742,0.004709988913764996,7.694584912257369,0.0005272670866171498,-0.004680382995777102
phi_vh_150_deg,150.00035076524952,0.006583115168579131,7.4552123849050895,-0.0009858343091632168,-0.006508881319985281
phi_vh_155_deg,155.0022723167416,0.009261475669902331,7.16150592308407,-0.002310093768912008,-0.008968745640446425
phi_vh_160_deg,159.99846429028239,0.011079202708430694,7.093968230464702,-0.005676610366726247,-0.009514453604851626
phi_vh_165_deg,165.00038584177446,0.014972856404353467,7.084058809440952,-0.007143291775069404,-0.013159020158112624
phi_vh_170_deg,170.00230739326656,0.016976055203180632,6.7253938412448155,-0.011063407677471545,-0.01287584796522155
phi_vh_175_deg,174.99849936680735,0.01980346637595951,6.511548796003025,-0.01436601664538954,-0.013630658320424205
phi_vh_180_deg,180.00042091829943,0.02199538879142754,6.52484580221691,-0.015189196114647273,-0.01590865957511319
phi_vh_185_deg,185.0023424697915,0.024830420884205395,6.038683900330484,-0.017999404964866995,-0.01710471344973381
phi_vh_190_deg,189.9985344433323,0.028160138861414764,5.408774926183688,-0.021996553565056965,-0.017582521205837965
phi_vh_195_deg,195.00045599482436,0.031766614417399724,4.680109506165318,-0.02552904494457576,-0.018904646406679472
phi_vh_200_deg,200.00237754631647,0.03294159929127625,4.106182062456957,-0.02674873423795253,-0.019226392811299727
phi_vh_205_deg,204.99856951985726,0.03501581076841574,3.61176789056904,-0.029953572519901113,-0.018135338349877152
phi_vh_210_deg,210.00049107134933,0.03607982925064805,3.027880651054088,-0.03170818190680452,-0.01721468207434901
phi_vh_215_deg,215.0024126228414,0.0372975329288648,2.092620822196771,-0.03462183286943565,-0.013872081723397508
phi_vh_220_deg,219.9986045963822,0.03972914194178553,1.2556385028020332,-0.03799154311834495,-0.011620988379543206
phi_vh_225_deg,225.0005261478743,0.03940713055896861,-0.23171712504144007,-0.038851011701061124,-0.006597031809504176
phi_vh_230_deg,230.0024476993664,0.04123538126677121,-0.9372293908128541,-0.04112258539386594,-0.003047890867499955
phi_vh_235_deg,234.99863967290713,0.04162678277765071,-1.9560107547998167,-0.041567129504407954,0.0022277318468557775
phi_vh_240_deg,240.0005612243992,0.03876031377638549,-2.7791214584303985,-0.0380005704315704,0.00763665967024299
phi_vh_245_deg,245.0024827758913,0.03941140046723803,-3.3236172176034215,-0.03823640388936704,0.009551748761258704
phi_vh_250_deg,249.9986747494321,0.038148263993286885,-4.448281153433876,-0.036222327615229546,0.011968000160281055
phi_vh_255_deg,255.00059630092417,0.03488890630270176,-5.331579000212539,-0.03212218303216728,0.01361620873248667
phi_vh_260_deg,260.00251785241625,0.03241291737050033,-6.354965221446991,-0.02859971580176622,0.015252982282986015
phi_vh_265_deg,264.99870982595706,0.030603294950396077,-6.635086150296091,-0.027028366788769232,0.014353712082687684
phi_vh_270_deg,270.0006313774491,0.028974042478491006,-6.820356283825577,-0.02542764844221665,0.013889918367090515
phi_vh_275_deg,275.0025529289412,0.02553741737759787,-7.300861001992083,-0.02207584275974839,0.012838101602826729
phi_vh_280_deg,279.998744902482,0.023042314367974878,-7.900394244457747,-0.019374701147524556,0.012472738547596198
phi_vh_285_deg,285.0006664539741,0.021049967948443212,-7.664321784670306,-0.018096771062376466,0.010752117361079176
phi_vh_290_deg,290.0025880054662,0.018655290404866246,-8.140347445969425,-0.015207336362262302,0.01080540516847515
phi_vh_295_deg,294.99877997900694,0.016005610282908974,-8.084727422499872,-0.012944885704849887,0.009413261635412805
phi_vh_300_deg,300.00070153049904,0.013552995358137514,-8.22448189460984,-0.011690278294962535,0.00685719159452504
phi_vh_305_deg,305.0026230819911,0.010899168856874027,-8.316351441860993,-0.009462176911789185,0.005409167205832742
phi_vh_310_deg,309.9988150555319,0.00783688129058785,-8.248714855740944,-0.007326113518734389,0.0027829425206753935
phi_vh_315_deg,315.000736607024,0.005441139730695408,-7.708899494819683,-0.005381055900761245,0.0008063739590504367
phi_vh_320_deg,320.00265815851606,0.0035853795682837045,-7.7431701955330645,-0.003328147993859661,-0.0013335582400608383
phi_vh_325_deg,324.9988501320569,0.0031895816871139325,-8.021077205795017,-0.001960936692507092,-0.002515583158385329
phi_vh_330_deg,330.0007716835489,0.006087133909047007,-7.330201281955344,0.0016033059071882496,-0.00587218948899345
phi_vh_335_deg,335.002693235041,0.008910685645442536,-7.116944776431447,0.0035317943141621013,-0.008180876945312644
phi_vh_340_deg,339.9988852085818,0.013425388993122832,-6.859595130334566,0.0076688456497647686,-0.011019522494951752
phi_vh_345_deg,345.0008067600739,0.014714675777740271,-6.954529349977545,0.008415035126959288,-0.012070992794963369
phi_vh_350_deg,350.002728311566,0.01679165829685639,-7.371213072165633,0.008643905535029691,-0.01439592600216704
phi_vh_355_deg,354.99892028510675,0.020551032731476186,-6.334833674104865,0.0147320071794949,-0.014328744215510173
phi_vh_360_deg,360.00084183659885,0.0230465458790486,-6.264215450277386,0.016479677193868263,-0.01611097503383921
